ord-20260506-221017,2026-05-06 22:10:17,340,customer-101
ord-20260506-221020,2026-05-06 22:10:20,170,customer-101
ord-20260513-140802,2026-05-13 14:08:02,640,customer-101
ord-20260513-140819,2026-05-13 14:08:19,300,customer-101
ord-20260513-143523,2026-05-13 14:35:23,840,customer-101
ord-20260515-200845,2026-05-15 20:08:45,350,customer-101
ord-20260515-200929,2026-05-15 20:09:29,200,customer-101
ord-20260515-204214,2026-05-15 20:42:14,160,customer-101
ord-20260515-204242,2026-05-15 20:42:42,210,customer-101
ord-20260516-000513,2026-05-16 00:05:13,370,customer-101
ord-20260516-003506,2026-05-16 00:35:06,250,customer-101
ord-20260516-004342,2026-05-16 00:43:42,400,customer-101
ord-20260516-014500,2026-05-16 01:45:00,450,customer-101
ord-20260516-014540,2026-05-16 01:45:40,450,customer-101
